Title,Description,Skill: Active Learning,Skill: Active Listening,Skill: Complex Problem Solving,Skill: Coordination,Skill: Critical Thinking,Skill: Equipment Maintenance,Skill: Equipment Selection,Skill: Installation,Skill: Instructing,Skill: Judgment and Decision Making,Skill: Learning Strategies,Skill: Management of Financial Resources,Skill: Management of Material Resources,Skill: Management of Personnel Resources,Skill: Mathematics,Skill: Monitoring,Skill: Negotiation,Skill: Operation and Control,Skill: Operations Analysis,Skill: Operations Monitoring,Skill: Persuasion,Skill: Programming,Skill: Quality Control Analysis,Skill: Reading Comprehension,Skill: Repairing,Skill: Science,Skill: Service Orientation,Skill: Social Perceptiveness,Skill: Speaking,Skill: Systems Analysis,Skill: Systems Evaluation,Skill: Technology Design,Skill: Time Management,Skill: Troubleshooting,Skill: Writing,Knowledge: Administration and Management,Knowledge: Administrative,Knowledge: Biology,Knowledge: Building and Construction,Knowledge: Chemistry,Knowledge: Communications and Media,Knowledge: Computers and Electronics,Knowledge: Customer and Personal Service,Knowledge: Design,Knowledge: Economics and Accounting,Knowledge: Education and Training,Knowledge: Engineering and Technology,Knowledge: English Language,Knowledge: Fine Arts,Knowledge: Food Production,Knowledge: Foreign Language,Knowledge: Geography,Knowledge: History and Archeology,Knowledge: Law and Government,Knowledge: Mathematics,Knowledge: Mechanical,Knowledge: Medicine and Dentistry,Knowledge: Personnel and Human Resources,Knowledge: Philosophy and Theology,Knowledge: Physics,Knowledge: Production and Processing,Knowledge: Psychology,Knowledge: Public Safety and Security,Knowledge: Sales and Marketing,Knowledge: Sociology and Anthropology,Knowledge: Telecommunications,Knowledge: Therapy and Counseling,Knowledge: Transportation,Ability: Arm-Hand Steadiness,Ability: Auditory Attention,Ability: Category Flexibility,Ability: Control Precision,Ability: Deductive Reasoning,Ability: Depth Perception,Ability: Dynamic Flexibility,Ability: Dynamic Strength,Ability: Explosive Strength,Ability: Extent Flexibility,Ability: Far Vision,Ability: Finger Dexterity,Ability: Flexibility of Closure,Ability: Fluency of Ideas,Ability: Glare Sensitivity,Ability: Gross Body Coordination,Ability: Gross Body Equilibrium,Ability: Hearing Sensitivity,Ability: Inductive Reasoning,Ability: Information Ordering,Ability: Manual Dexterity,Ability: Mathematical Reasoning,Ability: Memorization,Ability: Multilimb Coordination,Ability: Near Vision,Ability: Night Vision,Ability: Number Facility,Ability: Oral Comprehension,Ability: Oral Expression,Ability: Originality,Ability: Perceptual Speed,Ability: Peripheral Vision,Ability: Problem Sensitivity,Ability: Rate Control,Ability: Reaction Time,Ability: Response Orientation,Ability: Selective Attention,Ability: Sound Localization,Ability: Spatial Orientation,Ability: Speech Clarity,Ability: Speech Recognition,Ability: Speed of Closure,Ability: Speed of Limb Movement,Ability: Stamina,Ability: Static Strength,Ability: Time Sharing,Ability: Trunk Strength,Ability: Visual Color Discrimination,Ability: Visualization,Ability: Wrist-Finger Speed,Ability: Written Comprehension,Ability: Written Expression,Skill Profile,Knowledge Profile,Ability Profile
Water and Wastewater Treatment Plant and System Operators,"Operate or control an entire process or system of machines, often through the use of control boards, to transfer or treat water or wastewater.",2.88,3.38,3.0,2.88,3.25,3.25,2.62,1.25,2.62,3.12,2.62,1.75,2.0,2.38,3.0,3.62,2.25,3.75,1.62,3.88,2.25,1.62,3.38,3.12,3.25,2.62,2.5,2.88,3.25,2.88,3.0,1.75,3.0,3.25,2.88,3.33,3.1,3.9,2.46,3.98,2.19,3.23,3.0,2.28,2.19,3.13,3.42,3.05,1.0,1.28,1.17,2.19,1.35,2.52,3.62,3.89,1.34,2.54,1.38,2.89,3.46,1.97,3.48,1.38,1.48,2.25,1.14,1.85,2.88,2.62,2.88,3.0,3.5,2.88,1.0,2.0,1.5,2.62,3.0,2.88,2.88,2.75,1.88,2.25,2.25,2.5,3.25,3.12,3.0,2.75,2.12,2.88,3.62,1.75,2.88,3.75,3.75,2.12,3.38,1.75,3.38,2.62,2.88,2.75,3.12,1.75,2.0,3.12,3.12,2.25,1.88,2.0,2.12,2.62,2.62,2.88,2.75,2.0,3.62,3.12,"Operations Monitoring, Operation and Control, Monitoring, Active Listening, Quality Control Analysis, Speaking, Critical Thinking, Equipment Maintenance, Troubleshooting, Repairing","Chemistry, Biology, Mechanical, Mathematics, Public Safety and Security, Production and Processing, Engineering and Technology, Administration and Management, Computers and Electronics, Education and Training","Oral Comprehension, Oral Expression, Written Comprehension, Near Vision, Deductive Reasoning, Problem Sensitivity, Perceptual Speed, Inductive Reasoning, Written Expression, Information Ordering"
Chemical Plant and System Operators,Control or operate entire chemical processes or system of machines.,3.25,3.38,3.25,2.88,3.5,2.75,2.12,1.0,2.62,3.25,2.88,1.88,1.88,2.75,2.62,3.62,2.25,4.0,2.12,4.12,2.38,1.75,3.62,3.25,2.75,2.88,2.5,2.62,3.12,2.62,2.88,1.0,3.25,2.88,3.0,2.18,1.96,1.51,1.44,3.69,1.65,2.54,3.08,1.86,1.46,2.6,2.3,3.51,1.01,1.04,1.04,1.19,1.15,1.93,2.86,3.62,1.44,2.13,1.52,2.31,3.7,1.82,3.34,1.82,1.42,1.3,1.19,1.94,3.38,3.25,3.0,3.5,3.62,2.5,1.0,2.0,1.5,2.62,3.5,3.0,3.12,2.38,2.0,2.12,2.5,3.38,3.12,3.5,3.12,2.75,2.62,2.88,3.75,1.38,2.88,3.62,3.62,2.12,3.5,1.5,3.75,2.88,3.25,2.38,3.75,1.5,1.62,3.12,3.12,2.88,1.88,2.38,2.62,2.88,2.75,3.12,2.75,2.75,3.25,3.12,"Operations Monitoring, Operation and Control, Monitoring, Quality Control Analysis, Critical Thinking, Active Listening, Reading Comprehension, Active Learning, Complex Problem Solving, Judgment and Decision Making","Production and Processing, Chemistry, Mechanical, English Language, Public Safety and Security, Customer and Personal Service, Mathematics, Education and Training, Computers and Electronics, Physics","Problem Sensitivity, Selective Attention, Near Vision, Oral Comprehension, Oral Expression, Deductive Reasoning, Information Ordering, Perceptual Speed, Control Precision, Far Vision"
Gas Plant Operators,Distribute or process gas for utility companies and others by controlling compressors to maintain specified pressures on main pipelines.,2.88,3.0,3.0,3.0,3.5,2.88,2.25,1.0,2.75,3.25,2.75,2.0,2.0,2.75,2.88,3.62,2.5,3.75,1.88,4.12,2.62,1.62,3.25,3.12,2.88,2.0,2.25,2.88,3.0,2.75,2.62,1.88,3.0,3.0,3.0,2.51,3.01,1.64,2.41,2.38,2.38,3.4,3.04,2.68,2.06,2.84,3.14,3.59,1.25,1.04,1.36,2.6,1.26,2.77,3.17,3.75,1.45,2.48,1.37,2.83,3.13,2.19,3.94,1.56,1.64,2.67,1.52,2.75,3.0,3.5,3.0,3.0,3.25,2.75,1.0,2.0,1.5,2.25,3.25,3.0,3.25,2.88,2.12,2.0,2.12,3.0,3.0,3.12,3.0,2.75,2.12,2.88,3.75,2.0,2.75,3.25,3.0,2.25,3.88,2.0,3.62,3.0,3.12,2.75,3.38,2.0,2.12,3.0,3.0,2.62,1.75,2.12,2.25,3.0,2.62,3.0,3.0,2.25,3.12,3.12,"Operations Monitoring, Operation and Control, Monitoring, Critical Thinking, Quality Control Analysis, Judgment and Decision Making, Reading Comprehension, Active Listening, Writing, Speaking","Public Safety and Security, Mechanical, English Language, Computers and Electronics, Mathematics, Engineering and Technology, Production and Processing, Customer and Personal Service, Administrative, Education and Training","Perceptual Speed, Near Vision, Problem Sensitivity, Auditory Attention, Selective Attention, Oral Comprehension, Deductive Reasoning, Flexibility of Closure, Far Vision, Written Comprehension"
"Petroleum Pump System Operators, Refinery Operators, and Gaugers","Operate or control petroleum refining or processing units. May specialize in controlling manifold and pumping systems, gauging or testing oil in storage tanks, or regulating the flow of oil into pipelines.",3.0,3.0,3.12,2.88,3.0,2.88,2.5,1.0,2.62,3.0,2.88,1.88,1.88,2.5,2.62,3.62,2.25,3.75,1.88,4.0,2.12,1.88,2.88,3.5,2.62,2.0,2.25,2.88,3.12,2.75,2.5,1.5,3.0,2.88,3.0,3.52,2.19,1.51,2.02,2.95,1.25,2.99,2.4,2.15,1.69,2.87,2.61,3.2,1.0,1.09,1.36,1.41,1.21,2.57,3.22,3.55,1.26,2.03,1.17,1.99,3.61,2.2,3.58,1.43,1.36,2.04,1.23,2.48,3.0,3.38,3.12,3.12,3.25,2.75,1.0,2.0,1.62,2.88,3.0,3.0,3.75,2.38,2.12,2.38,2.75,3.38,3.12,3.75,3.0,2.88,2.62,3.0,3.75,2.0,2.75,3.12,3.12,2.38,3.75,2.0,3.62,2.88,3.0,2.5,3.5,2.0,2.38,3.0,3.25,2.75,1.88,2.38,2.62,2.88,2.75,3.0,3.0,2.62,3.12,3.0,"Operations Monitoring, Operation and Control, Monitoring, Reading Comprehension, Speaking, Complex Problem Solving, Active Listening, Writing, Critical Thinking, Active Learning","Production and Processing, Public Safety and Security, Mechanical, Administration and Management, Mathematics, English Language, Computers and Electronics, Chemistry, Education and Training, Engineering and Technology","Information Ordering, Flexibility of Closure, Perceptual Speed, Near Vision, Problem Sensitivity, Selective Attention, Hearing Sensitivity, Auditory Attention, Deductive Reasoning, Speech Recognition"
Biofuels Processing Technicians,"Calculate, measure, load, mix, and process refined feedstock with additives in fermentation or reaction process vessels and monitor production process. Perform, and keep records of, plant maintenance, repairs, and safety inspections.",2.88,3.25,2.88,3.12,3.12,3.25,2.5,1.5,3.0,2.88,2.5,1.75,2.25,2.5,2.88,3.38,2.88,3.75,1.12,3.88,2.88,1.62,3.38,3.5,3.0,2.88,3.0,3.12,3.25,2.88,2.88,1.5,2.88,3.0,3.12,2.47,2.45,2.42,2.49,3.21,2.16,3.18,2.39,2.2,1.67,2.85,2.78,3.42,1.05,2.04,1.21,1.57,1.12,2.24,2.78,3.53,1.47,2.14,1.31,2.68,3.96,1.64,3.39,1.78,1.14,2.17,1.35,2.7,3.38,3.12,3.12,3.5,3.38,2.62,1.5,2.62,2.75,3.0,3.0,3.25,3.12,2.75,2.25,2.62,2.75,3.0,3.38,3.38,3.38,2.75,2.5,3.25,3.38,1.88,2.75,3.5,3.5,2.5,3.38,2.12,3.38,3.12,3.38,2.75,3.38,2.5,2.38,3.38,3.5,2.62,1.0,2.38,2.62,3.12,3.0,3.38,3.0,2.38,3.5,3.25,"Operations Monitoring, Operation and Control, Reading Comprehension, Monitoring, Quality Control Analysis, Active Listening, Speaking, Equipment Maintenance, Writing, Critical Thinking","Production and Processing, Mechanical, English Language, Public Safety and Security, Chemistry, Computers and Electronics, Education and Training, Engineering and Technology, Mathematics, Transportation","Oral Comprehension, Written Comprehension, Oral Expression, Control Precision, Speech Recognition, Problem Sensitivity, Deductive Reasoning, Inductive Reasoning, Information Ordering, Perceptual Speed"
Chemical Equipment Operators and Tenders,"Operate or tend equipment to control chemical changes or reactions in the processing of industrial or consumer products. Equipment used includes devulcanizers, steam-jacketed kettles, and reactor vessels.",3.0,3.38,3.12,3.0,3.38,2.75,2.38,1.0,2.62,3.38,2.75,1.5,2.0,2.5,2.88,3.75,2.0,3.88,2.0,3.88,2.12,1.62,3.0,3.38,2.38,2.62,2.5,2.75,3.12,2.75,2.75,1.75,3.0,3.0,3.0,3.24,3.25,1.67,1.86,4.38,1.87,3.69,2.75,2.97,1.75,3.09,3.13,3.68,1.13,1.65,1.25,1.18,1.06,3.33,3.47,4.07,1.37,2.88,1.13,2.42,4.54,1.89,3.47,1.75,1.32,2.37,1.63,2.94,3.12,3.0,3.0,3.75,3.25,2.75,1.25,2.12,1.88,2.62,3.38,3.0,3.12,2.5,2.0,2.12,2.5,2.62,3.12,3.38,3.25,2.75,2.62,3.38,3.75,1.75,2.38,3.75,3.75,2.25,3.5,2.0,3.75,3.12,3.25,2.75,3.12,1.75,2.12,3.12,3.12,2.62,1.88,2.25,2.88,2.88,2.88,3.0,3.0,2.0,3.62,3.25,"Operations Monitoring, Operation and Control, Monitoring, Reading Comprehension, Active Listening, Critical Thinking, Judgment and Decision Making, Speaking, Complex Problem Solving, Writing","Production and Processing, Chemistry, Mechanical, Computers and Electronics, English Language, Mathematics, Public Safety and Security, Law and Government, Administrative, Administration and Management","Oral Comprehension, Oral Expression, Problem Sensitivity, Control Precision, Near Vision, Written Comprehension, Perceptual Speed, Information Ordering, Multilimb Coordination, Far Vision"
"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders","Set up, operate, or tend continuous flow or vat-type equipment; filter presses; shaker screens; centrifuges; condenser tubes; precipitating, fermenting, or evaporating tanks; scrubbing towers; or batch stills. These machines extract, sort, or separate liquids, gases, or solids from other materials to recover a refined product. Includes dairy processing equipment operators.",2.88,3.0,2.88,2.88,3.12,2.88,2.38,2.0,2.62,3.0,2.75,1.88,2.0,2.75,2.62,3.12,2.12,3.12,1.75,3.75,2.5,1.75,3.12,3.0,2.88,2.5,2.38,2.75,2.88,2.62,2.0,1.88,3.0,2.88,2.88,2.23,2.03,1.96,1.77,2.63,1.99,2.56,2.44,1.69,1.49,2.76,2.46,3.09,1.04,2.11,1.26,1.37,1.23,1.76,2.8,3.29,1.36,2.11,1.23,2.4,3.75,1.9,2.87,1.75,1.54,1.96,1.27,1.98,3.38,2.88,3.0,3.12,3.0,2.75,1.12,2.5,1.75,3.0,3.0,3.0,3.12,2.25,2.38,2.5,3.0,3.0,3.0,3.38,3.0,2.62,2.38,3.12,3.88,2.0,2.62,3.12,3.0,2.12,3.75,2.0,3.5,3.0,3.25,2.5,3.12,2.12,2.0,2.88,3.0,2.5,2.12,2.62,3.12,2.5,3.0,3.0,3.0,2.5,2.88,2.62,"Operations Monitoring, Critical Thinking, Monitoring, Operation and Control, Quality Control Analysis, Reading Comprehension, Active Listening, Judgment and Decision Making, Time Management, Writing","Production and Processing, Mechanical, English Language, Public Safety and Security, Mathematics, Education and Training, Chemistry, Computers and Electronics, Engineering and Technology, Customer and Personal Service","Near Vision, Perceptual Speed, Problem Sensitivity, Information Ordering, Arm-Hand Steadiness, Reaction Time, Oral Comprehension, Flexibility of Closure, Selective Attention, Control Precision"
"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders","Set up, operate, or tend machines to crush, grind, or polish materials, such as coal, glass, grain, stone, food, or rubber.",2.75,3.0,2.88,3.0,2.88,2.88,2.12,1.12,2.88,3.0,2.5,1.62,1.88,2.38,2.38,3.12,2.0,3.88,1.25,3.88,2.5,1.25,3.12,3.0,2.75,1.88,2.38,2.75,3.0,2.88,2.62,1.25,3.0,2.88,2.88,3.45,2.65,1.71,1.91,1.68,1.2,2.5,2.5,1.57,2.33,3.16,2.04,3.2,1.0,2.11,1.78,1.56,1.07,2.08,2.97,2.92,1.02,2.34,1.07,1.8,3.4,1.99,3.03,2.04,1.43,1.27,1.01,1.95,3.5,3.12,3.0,3.62,3.0,2.75,1.75,2.62,2.0,3.0,2.88,3.12,3.12,1.88,1.75,2.5,2.25,3.0,3.0,2.88,3.62,2.25,2.0,3.5,3.5,1.75,2.38,3.0,3.0,1.88,3.12,2.0,3.25,3.5,3.5,3.0,3.0,2.0,2.25,3.0,3.0,2.62,1.88,2.75,3.12,2.62,3.12,3.0,3.0,2.62,3.0,2.62,"Operations Monitoring, Operation and Control, Monitoring, Quality Control Analysis, Reading Comprehension, Active Listening, Speaking, Coordination, Judgment and Decision Making, Time Management","Administration and Management, Production and Processing, English Language, Education and Training, Public Safety and Security, Mathematics, Mechanical, Administrative, Customer and Personal Service, Computers and Electronics","Manual Dexterity, Control Precision, Arm-Hand Steadiness, Multilimb Coordination, Rate Control, Reaction Time, Near Vision, Problem Sensitivity, Flexibility of Closure, Perceptual Speed"
"Grinding and Polishing Workers, Hand","Grind, sand, or polish, using hand tools or hand-held power tools, a variety of metal, wood, stone, clay, plastic, or glass objects. Includes chippers, buffers, and finishers.",2.38,2.88,2.75,2.62,2.88,3.12,2.62,1.0,2.25,2.75,2.12,1.75,1.88,2.12,2.12,2.75,2.12,3.12,1.62,3.25,2.25,1.25,3.38,2.75,3.0,1.12,2.25,2.62,2.88,2.25,2.12,1.88,2.75,2.88,2.38,2.43,2.06,1.02,1.87,1.59,1.38,2.3,2.63,2.29,1.56,2.66,2.49,3.13,1.49,1.52,1.01,1.01,1.13,1.45,2.76,3.63,1.02,1.97,1.25,1.56,3.65,1.74,2.31,1.71,1.01,1.72,1.14,1.92,4.0,2.88,3.0,3.75,2.88,2.62,1.0,2.25,2.0,2.88,2.75,3.75,3.0,2.75,2.0,2.0,2.12,2.75,2.62,3.12,3.62,2.0,2.0,3.25,3.75,2.0,2.0,3.12,3.0,2.75,3.0,2.0,3.12,3.0,2.88,2.75,3.12,2.0,2.0,3.12,3.12,2.12,1.75,2.0,2.88,2.5,3.0,3.0,3.0,2.75,2.75,2.5,"Quality Control Analysis, Operations Monitoring, Operation and Control, Equipment Maintenance, Repairing, Active Listening, Speaking, Critical Thinking, Troubleshooting, Reading Comprehension","Production and Processing, Mechanical, English Language, Mathematics, Education and Training, Customer and Personal Service, Engineering and Technology, Administration and Management, Public Safety and Security, Computers and Electronics","Arm-Hand Steadiness, Finger Dexterity, Control Precision, Near Vision, Manual Dexterity, Multilimb Coordination, Oral Comprehension, Problem Sensitivity, Information Ordering, Selective Attention"
"Mixing and Blending Machine Setters, Operators, and Tenders","Set up, operate, or tend machines to mix or blend materials, such as chemicals, tobacco, liquids, color pigments, or explosive ingredients.",2.75,2.88,2.75,3.0,3.12,3.12,2.12,1.12,2.12,3.0,2.62,1.38,1.62,2.0,2.38,3.12,1.88,3.62,1.12,3.62,1.88,1.38,3.12,3.12,3.12,1.88,2.0,2.62,3.0,2.62,2.12,1.38,3.12,3.12,2.75,2.21,1.69,1.53,1.21,2.62,1.49,1.86,1.82,1.46,1.69,2.37,1.87,2.96,1.15,1.78,1.39,1.52,1.24,2.07,2.63,2.75,1.52,2.02,1.48,1.83,4.31,1.64,2.7,1.83,1.28,1.37,1.22,1.31,3.25,2.75,3.12,3.12,3.0,2.62,1.38,2.38,1.62,2.62,3.12,3.0,2.88,2.38,1.75,2.0,2.12,2.5,3.0,3.12,3.25,2.0,2.0,3.12,3.38,1.5,2.12,3.12,3.0,2.0,3.12,1.88,3.12,3.0,3.12,3.0,3.12,2.0,2.0,3.0,2.88,2.25,1.88,2.38,3.0,2.88,3.0,3.0,2.62,2.62,3.12,2.88,"Operations Monitoring, Operation and Control, Reading Comprehension, Critical Thinking, Monitoring, Equipment Maintenance, Troubleshooting, Repairing, Quality Control Analysis, Time Management","Production and Processing, English Language, Mechanical, Public Safety and Security, Mathematics, Chemistry, Education and Training, Administration and Management, Law and Government, Personnel and Human Resources","Near Vision, Arm-Hand Steadiness, Manual Dexterity, Oral Comprehension, Written Comprehension, Problem Sensitivity, Information Ordering, Category Flexibility, Perceptual Speed, Selective Attention"
"Cutters and Trimmers, Hand","Use hand tools or hand-held power tools to cut and trim a variety of manufactured items, such as carpet, fabric, stone, glass, or rubber.",2.12,2.88,2.5,2.25,2.62,1.12,1.12,1.0,2.12,2.75,2.0,1.25,1.5,2.25,2.0,2.75,2.0,2.25,1.25,2.25,2.12,1.0,2.25,2.75,1.0,1.0,2.25,2.75,2.88,2.0,2.0,1.0,2.88,2.0,2.12,1.86,1.1,1.07,1.34,1.16,1.16,1.95,1.33,1.78,1.07,1.85,1.39,2.18,1.04,1.05,1.6,1.07,1.06,1.08,2.42,1.56,1.11,1.64,1.14,1.44,3.25,1.81,2.14,1.09,1.78,1.23,1.08,1.62,3.12,2.0,3.0,3.0,2.75,2.0,1.12,2.12,1.88,2.38,2.75,2.88,2.5,2.0,1.38,2.0,2.0,2.12,2.62,3.12,3.5,2.0,2.0,2.88,3.38,1.0,2.0,3.0,2.88,2.0,2.62,1.0,2.75,2.38,2.62,1.75,2.88,1.0,1.25,2.88,3.0,2.0,1.75,2.0,3.0,2.0,2.75,2.62,2.62,2.0,2.75,2.25,"Active Listening, Speaking, Time Management, Reading Comprehension, Monitoring, Social Perceptiveness, Judgment and Decision Making, Critical Thinking, Complex Problem Solving, Coordination","Production and Processing, Mathematics, English Language, Public Safety and Security, Computers and Electronics, Administration and Management, Education and Training, Psychology, Design, Sociology and Anthropology","Manual Dexterity, Near Vision, Information Ordering, Arm-Hand Steadiness, Oral Comprehension, Category Flexibility, Control Precision, Static Strength, Speech Recognition, Oral Expression"
"Cutting and Slicing Machine Setters, Operators, and Tenders","Set up, operate, or tend machines that cut or slice materials, such as glass, stone, cork, rubber, tobacco, food, paper, or insulating material.",2.62,2.88,2.88,3.0,3.0,3.0,2.62,1.5,2.12,2.75,2.12,1.62,1.88,2.25,2.62,3.25,2.0,3.62,1.62,3.75,2.0,1.88,3.5,3.12,2.75,1.5,2.0,2.75,2.62,2.62,2.25,1.75,2.75,3.0,2.38,2.67,2.05,1.12,1.46,1.71,1.17,2.36,2.53,2.02,1.51,2.59,2.08,2.74,1.07,1.28,1.23,1.1,1.1,1.19,3.21,3.08,1.21,1.9,1.16,1.7,3.49,1.6,2.4,1.77,1.42,1.32,1.18,1.62,3.75,2.88,3.12,3.88,3.25,3.12,1.62,2.5,1.88,3.12,2.88,3.88,2.88,2.62,1.62,2.38,2.0,2.25,3.0,3.25,3.62,2.5,2.12,3.38,3.88,1.75,2.38,3.38,3.0,2.0,3.12,1.88,3.62,3.25,3.38,3.0,3.25,1.75,1.88,2.88,2.88,2.75,1.88,2.88,3.12,2.12,3.12,2.5,3.38,2.88,3.12,2.88,"Operations Monitoring, Operation and Control, Quality Control Analysis, Monitoring, Reading Comprehension, Critical Thinking, Coordination, Equipment Maintenance, Troubleshooting, Active Listening","Production and Processing, Mathematics, Mechanical, English Language, Administration and Management, Education and Training, Customer and Personal Service, Public Safety and Security, Computers and Electronics, Engineering and Technology","Finger Dexterity, Control Precision, Near Vision, Arm-Hand Steadiness, Problem Sensitivity, Manual Dexterity, Oral Comprehension, Visualization, Multilimb Coordination, Reaction Time"
"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders","Set up, operate, or tend machines, such as glass-forming machines, plodder machines, and tuber machines, to shape and form products such as glassware, food, rubber, soap, brick, tile, clay, wax, tobacco, or cosmetics.",2.62,3.0,2.88,2.75,3.0,2.62,2.38,1.88,2.25,2.88,2.12,1.62,1.75,2.12,2.12,3.38,1.75,3.75,2.0,3.75,2.0,1.25,3.0,3.0,2.75,1.75,2.0,2.88,3.12,2.25,2.12,1.75,2.75,3.0,2.75,2.6,2.44,1.82,1.91,2.55,2.04,3.13,2.3,2.23,1.81,2.73,2.85,2.83,1.41,2.84,1.78,1.66,1.47,1.6,2.92,3.55,1.91,2.06,1.59,2.33,3.67,1.82,2.79,1.91,1.67,2.08,1.33,2.01,3.62,3.25,3.12,3.25,3.12,3.0,1.75,2.62,1.75,2.88,3.25,3.25,2.75,2.12,1.88,2.5,2.0,3.0,3.0,3.25,3.38,2.25,2.0,3.12,3.38,1.25,2.12,3.12,3.12,2.12,3.75,1.5,3.38,3.75,3.75,3.0,3.12,1.75,1.88,3.0,3.0,2.38,2.38,3.12,3.12,2.5,3.12,2.88,3.12,2.62,3.12,2.62,"Operations Monitoring, Operation and Control, Monitoring, Speaking, Reading Comprehension, Active Listening, Critical Thinking, Troubleshooting, Quality Control Analysis, Social Perceptiveness","Production and Processing, Mechanical, Computers and Electronics, Mathematics, Engineering and Technology, Food Production, English Language, Public Safety and Security, Education and Training, Administration and Management","Perceptual Speed, Rate Control, Reaction Time, Arm-Hand Steadiness, Problem Sensitivity, Manual Dexterity, Near Vision, Information Ordering, Finger Dexterity, Control Precision"
"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders","Operate or tend heating equipment other than basic metal, plastic, or food processing equipment. Includes activities such as annealing glass, drying lumber, curing rubber, removing moisture from materials, or boiling soap.",2.38,3.12,2.38,2.5,3.12,2.12,1.5,1.0,2.12,2.38,2.12,1.25,1.38,2.12,2.25,3.12,2.12,3.12,1.5,3.88,2.12,1.25,3.0,3.12,1.75,1.88,2.12,2.25,3.12,2.0,2.0,1.38,2.38,2.12,2.62,2.63,2.09,1.42,1.97,2.42,2.01,2.97,2.56,2.28,1.91,2.77,2.16,2.84,1.19,1.71,1.83,1.35,1.31,1.83,2.68,3.52,2.3,1.99,1.83,1.81,3.21,2.24,3.13,1.89,1.71,2.29,1.76,2.1,3.25,2.75,2.88,3.5,3.0,2.12,1.0,2.25,1.5,2.75,2.25,2.75,2.25,2.12,1.62,2.12,2.62,2.0,3.0,3.12,3.0,2.0,1.75,3.0,3.25,1.62,2.12,3.38,3.12,2.0,3.0,1.38,3.62,2.38,3.12,2.12,3.12,1.5,2.0,3.12,3.25,1.75,1.88,2.12,2.88,2.25,3.0,2.12,2.25,2.0,3.38,2.88,"Operations Monitoring, Reading Comprehension, Active Listening, Speaking, Critical Thinking, Monitoring, Operation and Control, Quality Control Analysis, Writing, Coordination","Mechanical, Production and Processing, Public Safety and Security, Computers and Electronics, English Language, Education and Training, Mathematics, Administration and Management, Customer and Personal Service, Chemistry","Problem Sensitivity, Control Precision, Oral Comprehension, Written Comprehension, Arm-Hand Steadiness, Near Vision, Speech Recognition, Oral Expression, Information Ordering, Selective Attention"
"Inspectors, Testers, Sorters, Samplers, and Weighers","Inspect, test, sort, sample, or weigh nonagricultural raw materials or processed, machined, fabricated, or assembled parts or products for defects, wear, and deviations from specifications. May use precision measuring instruments and complex test equipment.",2.38,3.12,2.88,2.88,3.25,1.75,2.0,1.0,2.0,3.12,2.0,1.75,1.88,2.12,2.62,3.0,2.12,2.88,2.0,3.0,2.25,1.5,3.75,3.12,1.62,1.62,2.38,2.88,3.12,2.12,2.12,1.62,3.0,2.25,3.25,2.3,2.55,1.36,1.67,2.49,1.63,2.89,3.36,2.44,1.69,2.63,2.56,3.56,1.01,1.31,1.72,1.48,1.36,1.59,3.15,3.22,1.09,2.27,1.36,2.25,4.28,1.99,2.51,1.87,1.33,1.89,1.56,1.97,3.0,2.75,3.12,2.62,3.0,2.0,1.0,2.12,2.0,2.5,2.88,3.0,3.25,2.38,1.5,2.0,2.12,2.12,2.88,3.12,3.0,2.5,2.12,2.5,3.5,1.5,2.25,3.5,3.62,2.25,3.38,1.5,3.25,2.12,2.5,2.12,3.0,1.5,1.62,3.0,3.0,2.25,1.62,2.0,2.38,2.38,2.38,2.88,3.0,2.0,3.12,2.88,"Quality Control Analysis, Writing, Critical Thinking, Reading Comprehension, Active Listening, Speaking, Judgment and Decision Making, Monitoring, Operations Monitoring, Time Management","Production and Processing, English Language, Customer and Personal Service, Mechanical, Mathematics, Computers and Electronics, Education and Training, Engineering and Technology, Administrative, Public Safety and Security","Oral Expression, Oral Comprehension, Near Vision, Perceptual Speed, Problem Sensitivity, Flexibility of Closure, Written Comprehension, Information Ordering, Category Flexibility, Deductive Reasoning"
