Title,Description,skill_profile,corpus
"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",Sell goods for wholesalers or manufacturers to businesses or groups of individuals. Work requires substantial knowledge of items sold.,"Active Listening, Speaking, Social Perceptiveness, Persuasion, Negotiation, Critical Thinking, Reading Comprehension, Writing, Active Learning, Monitoring","sales representatives, wholesale and manufacturing, except technical and scientific products is a job whose key responsibility is to sell goods for wholesalers or manufacturers to businesses or groups of individuals. work requires substantial knowledge of items sold.. the required skills are active listening, speaking, social perceptiveness, persuasion, negotiation, critical thinking, reading comprehension, writing, active learning, monitoring"
Demonstrators and Product Promoters,Demonstrate merchandise and answer questions for the purpose of creating public interest in buying the product. May sell demonstrated merchandise.,"Active Listening, Speaking, Persuasion, Reading Comprehension, Service Orientation, Writing, Critical Thinking, Monitoring, Social Perceptiveness, Coordination","demonstrators and product promoters is a job whose key responsibility is to demonstrate merchandise and answer questions for the purpose of creating public interest in buying the product. may sell demonstrated merchandise.. the required skills are active listening, speaking, persuasion, reading comprehension, service orientation, writing, critical thinking, monitoring, social perceptiveness, coordination"
Models,"Model garments or other apparel and accessories for prospective buyers at fashion shows, private showings, or retail establishments. May pose for photos to be used in magazines or advertisements. May pose as subject for paintings, sculptures, and other types of artistic expression.","Social Perceptiveness, Active Listening, Speaking, Critical Thinking, Coordination, Reading Comprehension, Time Management, Judgment and Decision Making, Writing, Persuasion","models is a job whose key responsibility is to model garments or other apparel and accessories for prospective buyers at fashion shows, private showings, or retail establishments. may pose for photos to be used in magazines or advertisements. may pose as subject for paintings, sculptures, and other types of artistic expression.. the required skills are social perceptiveness, active listening, speaking, critical thinking, coordination, reading comprehension, time management, judgment and decision making, writing, persuasion"
Real Estate Brokers,"Operate real estate office, or work for commercial real estate firm, overseeing real estate transactions. Other duties usually include selling real estate or renting properties and arranging loans.","Speaking, Reading Comprehension, Active Listening, Critical Thinking, Active Learning, Negotiation, Persuasion, Writing, Social Perceptiveness, Judgment and Decision Making","real estate brokers is a job whose key responsibility is to operate real estate office, or work for commercial real estate firm, overseeing real estate transactions. other duties usually include selling real estate or renting properties and arranging loans.. the required skills are speaking, reading comprehension, active listening, critical thinking, active learning, negotiation, persuasion, writing, social perceptiveness, judgment and decision making"
Real Estate Sales Agents,"Rent, buy, or sell property for clients. Perform duties such as study property listings, interview prospective clients, accompany clients to property site, discuss conditions of sale, and draw up real estate contracts. Includes agents who represent buyer.","Active Listening, Speaking, Negotiation, Social Perceptiveness, Coordination, Critical Thinking, Persuasion, Service Orientation, Reading Comprehension, Writing","real estate sales agents is a job whose key responsibility is to rent, buy, or sell property for clients. perform duties such as study property listings, interview prospective clients, accompany clients to property site, discuss conditions of sale, and draw up real estate contracts. includes agents who represent buyer.. the required skills are active listening, speaking, negotiation, social perceptiveness, coordination, critical thinking, persuasion, service orientation, reading comprehension, writing"
Sales Engineers,"Sell business goods or services, the selling of which requires a technical background equivalent to a baccalaureate degree in engineering.","Speaking, Persuasion, Reading Comprehension, Active Listening, Critical Thinking, Social Perceptiveness, Judgment and Decision Making, Negotiation, Complex Problem Solving, Writing","sales engineers is a job whose key responsibility is to sell business goods or services, the selling of which requires a technical background equivalent to a baccalaureate degree in engineering.. the required skills are speaking, persuasion, reading comprehension, active listening, critical thinking, social perceptiveness, judgment and decision making, negotiation, complex problem solving, writing"
Telemarketers,Solicit donations or orders for goods or services over the telephone.,"Speaking, Persuasion, Active Listening, Service Orientation, Reading Comprehension, Social Perceptiveness, Critical Thinking, Negotiation, Writing, Coordination","telemarketers is a job whose key responsibility is to solicit donations or orders for goods or services over the telephone.. the required skills are speaking, persuasion, active listening, service orientation, reading comprehension, social perceptiveness, critical thinking, negotiation, writing, coordination"
"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",Sell goods or services door-to-door or on the street.,"Speaking, Persuasion, Social Perceptiveness, Service Orientation, Active Listening, Coordination, Negotiation, Reading Comprehension, Judgment and Decision Making, Writing","door-to-door sales workers, news and street vendors, and related workers is a job whose key responsibility is to sell goods or services door-to-door or on the street.. the required skills are speaking, persuasion, social perceptiveness, service orientation, active listening, coordination, negotiation, reading comprehension, judgment and decision making, writing"
First-Line Supervisors of Office and Administrative Support Workers,Directly supervise and coordinate the activities of clerical and administrative support workers.,"Reading Comprehension, Active Listening, Speaking, Monitoring, Social Perceptiveness, Coordination, Critical Thinking, Writing, Active Learning, Instructing","first-line supervisors of office and administrative support workers is a job whose key responsibility is to directly supervise and coordinate the activities of clerical and administrative support workers.. the required skills are reading comprehension, active listening, speaking, monitoring, social perceptiveness, coordination, critical thinking, writing, active learning, instructing"
"Switchboard Operators, Including Answering Service","Operate telephone business systems equipment or switchboards to relay incoming, outgoing, and interoffice calls. May supply information to callers and record messages.","Active Listening, Speaking, Social Perceptiveness, Service Orientation, Reading Comprehension, Coordination, Monitoring, Writing, Critical Thinking, Time Management","switchboard operators, including answering service is a job whose key responsibility is to operate telephone business systems equipment or switchboards to relay incoming, outgoing, and interoffice calls. may supply information to callers and record messages.. the required skills are active listening, speaking, social perceptiveness, service orientation, reading comprehension, coordination, monitoring, writing, critical thinking, time management"
Telephone Operators,"Provide information by accessing alphabetical, geographical, or other directories. Assist customers with special billing requests, such as charges to a third party and credits or refunds for incorrectly dialed numbers or bad connections. May handle emergency calls and assist children or people with physical disabilities to make telephone calls.","Active Listening, Speaking, Service Orientation, Social Perceptiveness, Reading Comprehension, Critical Thinking, Monitoring, Complex Problem Solving, Coordination, Time Management","telephone operators is a job whose key responsibility is to provide information by accessing alphabetical, geographical, or other directories. assist customers with special billing requests, such as charges to a third party and credits or refunds for incorrectly dialed numbers or bad connections. may handle emergency calls and assist children or people with physical disabilities to make telephone calls.. the required skills are active listening, speaking, service orientation, social perceptiveness, reading comprehension, critical thinking, monitoring, complex problem solving, coordination, time management"
Bill and Account Collectors,"Locate and notify customers of delinquent accounts by mail, telephone, or personal visit to solicit payment. Duties include receiving payment and posting amount to customer's account, preparing statements to credit department if customer fails to respond, initiating repossession proceedings or service disconnection, and keeping records of collection and status of accounts.","Active Listening, Speaking, Social Perceptiveness, Persuasion, Writing, Reading Comprehension, Critical Thinking, Monitoring, Negotiation, Service Orientation","bill and account collectors is a job whose key responsibility is to locate and notify customers of delinquent accounts by mail, telephone, or personal visit to solicit payment. duties include receiving payment and posting amount to customer's account, preparing statements to credit department if customer fails to respond, initiating repossession proceedings or service disconnection, and keeping records of collection and status of accounts.. the required skills are active listening, speaking, social perceptiveness, persuasion, writing, reading comprehension, critical thinking, monitoring, negotiation, service orientation"
Billing and Posting Clerks,"Compile, compute, and record billing, accounting, statistical, and other numerical data for billing purposes. Prepare billing invoices for services rendered or for delivery or shipment of goods.","Reading Comprehension, Mathematics, Active Listening, Speaking, Critical Thinking, Monitoring, Time Management, Writing, Social Perceptiveness, Service Orientation","billing and posting clerks is a job whose key responsibility is to compile, compute, and record billing, accounting, statistical, and other numerical data for billing purposes. prepare billing invoices for services rendered or for delivery or shipment of goods.. the required skills are reading comprehension, mathematics, active listening, speaking, critical thinking, monitoring, time management, writing, social perceptiveness, service orientation"
"Bookkeeping, Accounting, and Auditing Clerks","Compute, classify, and record numerical data to keep financial records complete. Perform any combination of routine calculating, posting, and verifying duties to obtain primary financial data for use in maintaining accounting records. May also check the accuracy of figures, calculations, and postings pertaining to business transactions recorded by other workers.","Mathematics, Reading Comprehension, Active Listening, Critical Thinking, Writing, Speaking, Monitoring, Time Management, Coordination, Service Orientation","bookkeeping, accounting, and auditing clerks is a job whose key responsibility is to compute, classify, and record numerical data to keep financial records complete. perform any combination of routine calculating, posting, and verifying duties to obtain primary financial data for use in maintaining accounting records. may also check the accuracy of figures, calculations, and postings pertaining to business transactions recorded by other workers.. the required skills are mathematics, reading comprehension, active listening, critical thinking, writing, speaking, monitoring, time management, coordination, service orientation"
Gambling Cage Workers,"In a gambling establishment, conduct financial transactions for patrons. Accept patron's credit application and verify credit references to provide check-cashing authorization or to establish house credit accounts. May reconcile daily summaries of transactions to balance books. May sell gambling chips, tokens, or tickets to patrons, or to other workers for resale to patrons. May convert gambling chips, tokens, or tickets to currency upon patron's request. May use a cash register or computer to record transaction.","Speaking, Active Listening, Mathematics, Reading Comprehension, Writing, Critical Thinking, Monitoring, Social Perceptiveness, Service Orientation, Time Management","gambling cage workers is a job whose key responsibility is to in a gambling establishment, conduct financial transactions for patrons. accept patron's credit application and verify credit references to provide check-cashing authorization or to establish house credit accounts. may reconcile daily summaries of transactions to balance books. may sell gambling chips, tokens, or tickets to patrons, or to other workers for resale to patrons. may convert gambling chips, tokens, or tickets to currency upon patron's request. may use a cash register or computer to record transaction.. the required skills are speaking, active listening, mathematics, reading comprehension, writing, critical thinking, monitoring, social perceptiveness, service orientation, time management"
Payroll and Timekeeping Clerks,"Compile and record employee time and payroll data. May compute employees' time worked, production, and commission. May compute and post wages and deductions, or prepare paychecks.","Reading Comprehension, Active Listening, Mathematics, Writing, Speaking, Critical Thinking, Monitoring, Service Orientation, Complex Problem Solving, Social Perceptiveness","payroll and timekeeping clerks is a job whose key responsibility is to compile and record employee time and payroll data. may compute employees' time worked, production, and commission. may compute and post wages and deductions, or prepare paychecks.. the required skills are reading comprehension, active listening, mathematics, writing, speaking, critical thinking, monitoring, service orientation, complex problem solving, social perceptiveness"
Procurement Clerks,Compile information and records to draw up purchase orders for procurement of materials and services.,"Reading Comprehension, Speaking, Active Listening, Critical Thinking, Writing, Monitoring, Social Perceptiveness, Complex Problem Solving, Judgment and Decision Making, Active Learning","procurement clerks is a job whose key responsibility is to compile information and records to draw up purchase orders for procurement of materials and services.. the required skills are reading comprehension, speaking, active listening, critical thinking, writing, monitoring, social perceptiveness, complex problem solving, judgment and decision making, active learning"
Tellers,Receive and pay out money. Keep records of money and negotiable instruments involved in a financial institution's various transactions.,"Active Listening, Speaking, Reading Comprehension, Critical Thinking, Monitoring, Social Perceptiveness, Service Orientation, Writing, Mathematics, Time Management","tellers is a job whose key responsibility is to receive and pay out money. keep records of money and negotiable instruments involved in a financial institution's various transactions.. the required skills are active listening, speaking, reading comprehension, critical thinking, monitoring, social perceptiveness, service orientation, writing, mathematics, time management"
Brokerage Clerks,"Perform duties related to the purchase, sale, or holding of securities. Duties include writing orders for stock purchases or sales, computing transfer taxes, verifying stock transactions, accepting and delivering securities, tracking stock price fluctuations, computing equity, distributing dividends, and keeping records of daily transactions and holdings.","Active Listening, Speaking, Reading Comprehension, Time Management, Critical Thinking, Writing, Monitoring, Mathematics, Active Learning, Social Perceptiveness","brokerage clerks is a job whose key responsibility is to perform duties related to the purchase, sale, or holding of securities. duties include writing orders for stock purchases or sales, computing transfer taxes, verifying stock transactions, accepting and delivering securities, tracking stock price fluctuations, computing equity, distributing dividends, and keeping records of daily transactions and holdings.. the required skills are active listening, speaking, reading comprehension, time management, critical thinking, writing, monitoring, mathematics, active learning, social perceptiveness"
Correspondence Clerks,"Compose letters or electronic correspondence in reply to requests for merchandise, damage claims, credit and other information, delinquent accounts, incorrect billings, or unsatisfactory services. Duties may include gathering data to formulate reply and preparing correspondence.","Writing, Reading Comprehension, Active Listening, Speaking, Critical Thinking, Judgment and Decision Making, Social Perceptiveness, Service Orientation, Time Management, Monitoring","correspondence clerks is a job whose key responsibility is to compose letters or electronic correspondence in reply to requests for merchandise, damage claims, credit and other information, delinquent accounts, incorrect billings, or unsatisfactory services. duties may include gathering data to formulate reply and preparing correspondence.. the required skills are writing, reading comprehension, active listening, speaking, critical thinking, judgment and decision making, social perceptiveness, service orientation, time management, monitoring"
"Court, Municipal, and License Clerks","Perform clerical duties for courts of law, municipalities, or governmental licensing agencies and bureaus. May prepare docket of cases to be called; secure information for judges and court; prepare draft agendas or bylaws for town or city council; answer official correspondence; keep fiscal records and accounts; issue licenses or permits; and record data, administer tests, or collect fees.","Active Listening, Speaking, Reading Comprehension, Writing, Critical Thinking, Social Perceptiveness, Service Orientation, Time Management, Monitoring, Coordination","court, municipal, and license clerks is a job whose key responsibility is to perform clerical duties for courts of law, municipalities, or governmental licensing agencies and bureaus. may prepare docket of cases to be called; secure information for judges and court; prepare draft agendas or bylaws for town or city council; answer official correspondence; keep fiscal records and accounts; issue licenses or permits; and record data, administer tests, or collect fees.. the required skills are active listening, speaking, reading comprehension, writing, critical thinking, social perceptiveness, service orientation, time management, monitoring, coordination"
"Credit Authorizers, Checkers, and Clerks","Authorize credit charges against customers' accounts. Investigate history and credit standing of individuals or business establishments applying for credit. May interview applicants to obtain personal and financial data, determine credit worthiness, process applications, and notify customers of acceptance or rejection of credit.","Reading Comprehension, Active Listening, Speaking, Critical Thinking, Writing, Social Perceptiveness, Time Management, Monitoring, Coordination, Service Orientation","credit authorizers, checkers, and clerks is a job whose key responsibility is to authorize credit charges against customers' accounts. investigate history and credit standing of individuals or business establishments applying for credit. may interview applicants to obtain personal and financial data, determine credit worthiness, process applications, and notify customers of acceptance or rejection of credit.. the required skills are reading comprehension, active listening, speaking, critical thinking, writing, social perceptiveness, time management, monitoring, coordination, service orientation"
Customer Service Representatives,"Interact with customers to provide basic or scripted information in response to routine inquiries about products and services. May handle and resolve general complaints. Excludes individuals whose duties are primarily installation, sales, repair, and technical support.","Active Listening, Service Orientation, Speaking, Reading Comprehension, Critical Thinking, Complex Problem Solving, Time Management, Writing, Monitoring, Social Perceptiveness","customer service representatives is a job whose key responsibility is to interact with customers to provide basic or scripted information in response to routine inquiries about products and services. may handle and resolve general complaints. excludes individuals whose duties are primarily installation, sales, repair, and technical support.. the required skills are active listening, service orientation, speaking, reading comprehension, critical thinking, complex problem solving, time management, writing, monitoring, social perceptiveness"
"Eligibility Interviewers, Government Programs","Determine eligibility of persons applying to receive assistance from government programs and agency resources, such as welfare, unemployment benefits, social security, and public housing.","Speaking, Active Listening, Reading Comprehension, Writing, Social Perceptiveness, Service Orientation, Critical Thinking, Judgment and Decision Making, Active Learning, Monitoring","eligibility interviewers, government programs is a job whose key responsibility is to determine eligibility of persons applying to receive assistance from government programs and agency resources, such as welfare, unemployment benefits, social security, and public housing.. the required skills are speaking, active listening, reading comprehension, writing, social perceptiveness, service orientation, critical thinking, judgment and decision making, active learning, monitoring"
File Clerks,"File correspondence, cards, invoices, receipts, and other records in alphabetical or numerical order or according to the filing system used. Locate and remove material from file when requested.","Reading Comprehension, Active Listening, Writing, Speaking, Critical Thinking, Monitoring, Social Perceptiveness, Service Orientation, Time Management, Active Learning","file clerks is a job whose key responsibility is to file correspondence, cards, invoices, receipts, and other records in alphabetical or numerical order or according to the filing system used. locate and remove material from file when requested.. the required skills are reading comprehension, active listening, writing, speaking, critical thinking, monitoring, social perceptiveness, service orientation, time management, active learning"
"Hotel, Motel, and Resort Desk Clerks","Accommodate hotel, motel, and resort patrons by registering and assigning rooms to guests, issuing room keys or cards, transmitting and receiving messages, keeping records of occupied rooms and guests' accounts, making and confirming reservations, and presenting statements to and collecting payments from departing guests.","Speaking, Social Perceptiveness, Service Orientation, Active Listening, Coordination, Reading Comprehension, Monitoring, Complex Problem Solving, Judgment and Decision Making, Time Management","hotel, motel, and resort desk clerks is a job whose key responsibility is to accommodate hotel, motel, and resort patrons by registering and assigning rooms to guests, issuing room keys or cards, transmitting and receiving messages, keeping records of occupied rooms and guests' accounts, making and confirming reservations, and presenting statements to and collecting payments from departing guests.. the required skills are speaking, social perceptiveness, service orientation, active listening, coordination, reading comprehension, monitoring, complex problem solving, judgment and decision making, time management"
"Interviewers, Except Eligibility and Loan","Interview persons by telephone, mail, in person, or by other means for the purpose of completing forms, applications, or questionnaires. Ask specific questions, record answers, and assist persons with completing form. May sort, classify, and file forms.","Active Listening, Speaking, Reading Comprehension, Social Perceptiveness, Writing, Critical Thinking, Service Orientation, Time Management, Complex Problem Solving, Monitoring","interviewers, except eligibility and loan is a job whose key responsibility is to interview persons by telephone, mail, in person, or by other means for the purpose of completing forms, applications, or questionnaires. ask specific questions, record answers, and assist persons with completing form. may sort, classify, and file forms.. the required skills are active listening, speaking, reading comprehension, social perceptiveness, writing, critical thinking, service orientation, time management, complex problem solving, monitoring"
"Library Assistants, Clerical","Compile records, and sort, shelve, issue, and receive library materials such as books, electronic media, pictures, cards, slides and microfilm. Locate library materials for loan and replace material in shelving area, stacks, or files according to identification number and title. Register patrons to permit them to borrow books, periodicals, and other library materials.","Service Orientation, Reading Comprehension, Active Listening, Writing, Speaking, Critical Thinking, Coordination, Monitoring, Social Perceptiveness, Complex Problem Solving","library assistants, clerical is a job whose key responsibility is to compile records, and sort, shelve, issue, and receive library materials such as books, electronic media, pictures, cards, slides and microfilm. locate library materials for loan and replace material in shelving area, stacks, or files according to identification number and title. register patrons to permit them to borrow books, periodicals, and other library materials.. the required skills are service orientation, reading comprehension, active listening, writing, speaking, critical thinking, coordination, monitoring, social perceptiveness, complex problem solving"
Loan Interviewers and Clerks,"Interview loan applicants to elicit information; investigate applicants' backgrounds and verify references; prepare loan request papers; and forward findings, reports, and documents to appraisal department. Review loan papers to ensure completeness, and complete transactions between loan establishment, borrowers, and sellers upon approval of loan.","Active Listening, Speaking, Reading Comprehension, Critical Thinking, Writing, Complex Problem Solving, Active Learning, Social Perceptiveness, Judgment and Decision Making, Time Management","loan interviewers and clerks is a job whose key responsibility is to interview loan applicants to elicit information; investigate applicants' backgrounds and verify references; prepare loan request papers; and forward findings, reports, and documents to appraisal department. review loan papers to ensure completeness, and complete transactions between loan establishment, borrowers, and sellers upon approval of loan.. the required skills are active listening, speaking, reading comprehension, critical thinking, writing, complex problem solving, active learning, social perceptiveness, judgment and decision making, time management"
New Accounts Clerks,Interview persons desiring to open accounts in financial institutions. Explain account services available to prospective customers and assist them in preparing applications.,"Active Listening, Speaking, Reading Comprehension, Service Orientation, Social Perceptiveness, Critical Thinking, Monitoring, Coordination, Writing, Persuasion","new accounts clerks is a job whose key responsibility is to interview persons desiring to open accounts in financial institutions. explain account services available to prospective customers and assist them in preparing applications.. the required skills are active listening, speaking, reading comprehension, service orientation, social perceptiveness, critical thinking, monitoring, coordination, writing, persuasion"
Order Clerks,"Receive and process incoming orders for materials, merchandise, classified ads, or services such as repairs, installations, or rental of facilities. Generally receives orders via mail, phone, fax, or other electronic means. Duties include informing customers of receipt, prices, shipping dates, and delays; preparing contracts; and handling complaints.","Active Listening, Speaking, Reading Comprehension, Service Orientation, Writing, Critical Thinking, Monitoring, Judgment and Decision Making, Mathematics, Active Learning","order clerks is a job whose key responsibility is to receive and process incoming orders for materials, merchandise, classified ads, or services such as repairs, installations, or rental of facilities. generally receives orders via mail, phone, fax, or other electronic means. duties include informing customers of receipt, prices, shipping dates, and delays; preparing contracts; and handling complaints.. the required skills are active listening, speaking, reading comprehension, service orientation, writing, critical thinking, monitoring, judgment and decision making, mathematics, active learning"
"Human Resources Assistants, Except Payroll and Timekeeping","Compile and keep personnel records. Record data for each employee, such as address, weekly earnings, absences, amount of sales or production, supervisory reports, and date of and reason for termination. May prepare reports for employment records, file employment records, or search employee files and furnish information to authorized persons.","Reading Comprehension, Active Listening, Speaking, Writing, Critical Thinking, Monitoring, Social Perceptiveness, Time Management, Active Learning, Coordination","human resources assistants, except payroll and timekeeping is a job whose key responsibility is to compile and keep personnel records. record data for each employee, such as address, weekly earnings, absences, amount of sales or production, supervisory reports, and date of and reason for termination. may prepare reports for employment records, file employment records, or search employee files and furnish information to authorized persons.. the required skills are reading comprehension, active listening, speaking, writing, critical thinking, monitoring, social perceptiveness, time management, active learning, coordination"
Receptionists and Information Clerks,"Answer inquiries and provide information to the general public, customers, visitors, and other interested parties regarding activities conducted at establishment and location of departments, offices, and employees within the organization.","Speaking, Active Listening, Service Orientation, Reading Comprehension, Critical Thinking, Social Perceptiveness, Writing, Coordination, Monitoring, Time Management","receptionists and information clerks is a job whose key responsibility is to answer inquiries and provide information to the general public, customers, visitors, and other interested parties regarding activities conducted at establishment and location of departments, offices, and employees within the organization.. the required skills are speaking, active listening, service orientation, reading comprehension, critical thinking, social perceptiveness, writing, coordination, monitoring, time management"
Reservation and Transportation Ticket Agents and Travel Clerks,"Make and confirm reservations for transportation or lodging, or sell transportation tickets. May check baggage and direct passengers to designated concourse, pier, or track; deliver tickets and contact individuals and groups to inform them of package tours; or provide tourists with travel or transportation information.","Active Listening, Speaking, Service Orientation, Social Perceptiveness, Reading Comprehension, Critical Thinking, Persuasion, Writing, Coordination, Judgment and Decision Making","reservation and transportation ticket agents and travel clerks is a job whose key responsibility is to make and confirm reservations for transportation or lodging, or sell transportation tickets. may check baggage and direct passengers to designated concourse, pier, or track; deliver tickets and contact individuals and groups to inform them of package tours; or provide tourists with travel or transportation information.. the required skills are active listening, speaking, service orientation, social perceptiveness, reading comprehension, critical thinking, persuasion, writing, coordination, judgment and decision making"
Cargo and Freight Agents,"Expedite and route movement of incoming and outgoing cargo and freight shipments in airline, train, and trucking terminals and shipping docks. Take orders from customers and arrange pickup of freight and cargo for delivery to loading platform. Prepare and examine bills of lading to determine shipping charges and tariffs.","Speaking, Active Listening, Reading Comprehension, Critical Thinking, Negotiation, Time Management, Writing, Monitoring, Social Perceptiveness, Coordination","cargo and freight agents is a job whose key responsibility is to expedite and route movement of incoming and outgoing cargo and freight shipments in airline, train, and trucking terminals and shipping docks. take orders from customers and arrange pickup of freight and cargo for delivery to loading platform. prepare and examine bills of lading to determine shipping charges and tariffs.. the required skills are speaking, active listening, reading comprehension, critical thinking, negotiation, time management, writing, monitoring, social perceptiveness, coordination"
Freight Forwarders,"Research rates, routings, or modes of transport for shipment of products. Maintain awareness of regulations affecting the international movement of cargo. Make arrangements for additional services, such as storage or inland transportation.","Reading Comprehension, Coordination, Monitoring, Active Listening, Critical Thinking, Writing, Speaking, Social Perceptiveness, Negotiation, Service Orientation","freight forwarders is a job whose key responsibility is to research rates, routings, or modes of transport for shipment of products. maintain awareness of regulations affecting the international movement of cargo. make arrangements for additional services, such as storage or inland transportation.. the required skills are reading comprehension, coordination, monitoring, active listening, critical thinking, writing, speaking, social perceptiveness, negotiation, service orientation"
Couriers and Messengers,"Pick up and deliver messages, documents, packages, and other items between offices or departments within an establishment or directly to other business concerns, traveling by foot, bicycle, motorcycle, automobile, or public conveyance.","Active Listening, Speaking, Time Management, Reading Comprehension, Writing, Critical Thinking, Service Orientation, Judgment and Decision Making, Monitoring, Social Perceptiveness","couriers and messengers is a job whose key responsibility is to pick up and deliver messages, documents, packages, and other items between offices or departments within an establishment or directly to other business concerns, traveling by foot, bicycle, motorcycle, automobile, or public conveyance.. the required skills are active listening, speaking, time management, reading comprehension, writing, critical thinking, service orientation, judgment and decision making, monitoring, social perceptiveness"
Public Safety Telecommunicators,"Operate telephone, radio, or other communication systems to receive and communicate requests for emergency assistance at 9-1-1 public safety answering points and emergency operations centers. Take information from the public and other sources regarding crimes, threats, disturbances, acts of terrorism, fires, medical emergencies, and other public safety matters. May coordinate and provide information to law enforcement and emergency response personnel. May access sensitive databases and other information sources as needed. May provide additional instructions to callers based on knowledge of and certification in law enforcement, fire, or emergency medical procedures.","Active Listening, Speaking, Social Perceptiveness, Critical Thinking, Coordination, Service Orientation, Reading Comprehension, Judgment and Decision Making, Complex Problem Solving, Active Learning","public safety telecommunicators is a job whose key responsibility is to operate telephone, radio, or other communication systems to receive and communicate requests for emergency assistance at 9-1-1 public safety answering points and emergency operations centers. take information from the public and other sources regarding crimes, threats, disturbances, acts of terrorism, fires, medical emergencies, and other public safety matters. may coordinate and provide information to law enforcement and emergency response personnel. may access sensitive databases and other information sources as needed. may provide additional instructions to callers based on knowledge of and certification in law enforcement, fire, or emergency medical procedures.. the required skills are active listening, speaking, social perceptiveness, critical thinking, coordination, service orientation, reading comprehension, judgment and decision making, complex problem solving, active learning"
"Dispatchers, Except Police, Fire, and Ambulance","Schedule and dispatch workers, work crews, equipment, or service vehicles for conveyance of materials, freight, or passengers, or for normal installation, service, or emergency repairs rendered outside the place of business. Duties may include using radio, telephone, or computer to transmit assignments and compiling statistics and reports on work progress.","Active Listening, Speaking, Monitoring, Coordination, Reading Comprehension, Time Management, Writing, Critical Thinking, Social Perceptiveness, Service Orientation","dispatchers, except police, fire, and ambulance is a job whose key responsibility is to schedule and dispatch workers, work crews, equipment, or service vehicles for conveyance of materials, freight, or passengers, or for normal installation, service, or emergency repairs rendered outside the place of business. duties may include using radio, telephone, or computer to transmit assignments and compiling statistics and reports on work progress.. the required skills are active listening, speaking, monitoring, coordination, reading comprehension, time management, writing, critical thinking, social perceptiveness, service orientation"
"Meter Readers, Utilities","Read meter and record consumption of electricity, gas, water, or steam.","Reading Comprehension, Active Listening, Speaking, Critical Thinking, Service Orientation, Time Management, Monitoring, Complex Problem Solving, Operations Monitoring, Operation and Control","meter readers, utilities is a job whose key responsibility is to read meter and record consumption of electricity, gas, water, or steam.. the required skills are reading comprehension, active listening, speaking, critical thinking, service orientation, time management, monitoring, complex problem solving, operations monitoring, operation and control"
Postal Service Clerks,"Perform any combination of tasks in a United States Postal Service (USPS) post office, such as receive letters and parcels; sell postage and revenue stamps, postal cards, and stamped envelopes; fill out and sell money orders; place mail in pigeon holes of mail rack or in bags; and examine mail for correct postage. Includes postal service clerks employed by USPS contractors.","Active Listening, Speaking, Reading Comprehension, Service Orientation, Critical Thinking, Monitoring, Social Perceptiveness, Time Management, Writing, Judgment and Decision Making","postal service clerks is a job whose key responsibility is to perform any combination of tasks in a united states postal service (usps) post office, such as receive letters and parcels; sell postage and revenue stamps, postal cards, and stamped envelopes; fill out and sell money orders; place mail in pigeon holes of mail rack or in bags; and examine mail for correct postage. includes postal service clerks employed by usps contractors.. the required skills are active listening, speaking, reading comprehension, service orientation, critical thinking, monitoring, social perceptiveness, time management, writing, judgment and decision making"
Postal Service Mail Carriers,Sort and deliver mail for the United States Postal Service (USPS). Deliver mail on established route by vehicle or on foot. Includes postal service mail carriers employed by USPS contractors.,"Active Listening, Speaking, Critical Thinking, Social Perceptiveness, Time Management, Coordination, Reading Comprehension, Monitoring, Service Orientation, Judgment and Decision Making","postal service mail carriers is a job whose key responsibility is to sort and deliver mail for the united states postal service (usps). deliver mail on established route by vehicle or on foot. includes postal service mail carriers employed by usps contractors.. the required skills are active listening, speaking, critical thinking, social perceptiveness, time management, coordination, reading comprehension, monitoring, service orientation, judgment and decision making"
"Postal Service Mail Sorters, Processors, and Processing Machine Operators","Prepare incoming and outgoing mail for distribution for the United States Postal Service (USPS). Examine, sort, and route mail. Load, operate, and occasionally adjust and repair mail processing, sorting, and canceling machinery. Keep records of shipments, pouches, and sacks, and perform other duties related to mail handling within the postal service. Includes postal service mail sorters and processors employed by USPS contractors.","Monitoring, Reading Comprehension, Speaking, Critical Thinking, Coordination, Active Listening, Operations Monitoring, Judgment and Decision Making, Time Management, Social Perceptiveness","postal service mail sorters, processors, and processing machine operators is a job whose key responsibility is to prepare incoming and outgoing mail for distribution for the united states postal service (usps). examine, sort, and route mail. load, operate, and occasionally adjust and repair mail processing, sorting, and canceling machinery. keep records of shipments, pouches, and sacks, and perform other duties related to mail handling within the postal service. includes postal service mail sorters and processors employed by usps contractors.. the required skills are monitoring, reading comprehension, speaking, critical thinking, coordination, active listening, operations monitoring, judgment and decision making, time management, social perceptiveness"
